Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
Creates all natural wheat and gluten-free baked goods and distributes them through its partners in the US and Canada.,Out,Out,Food & Beverage,Atrophymonsters,2012,7827495.69,487.00%,7166127.17
"Places registered nurses, medical technicians and occupational therapists in temporary contract positions at hospitals nationwide, with an emphasis on registered nursing services.",In,Out,Health,Chirpskipping,2013,3666733.26,230.00%,10643313.8
Provides research and development services to assist in resolving national issues and assists the Federal Emergency Management Agency's medical response team during natural disasters.,Out,Out,Government Services,Discreetcorrosive,2011,6648408.02,362.00%,7307498.24
A live entertainment ticketing and marketing company that provides consumers with access to event tickets through its vast partner network of secondary market broker and individual ticket holders.,Out,Out,Consumer Products & Services,Plankoblateness,2012,6575556.89,515.00%,6879063.35
A global test preparation and admissions counseling firm that provides customized services (in person and online) to students and applicants in 32 countries and 39 states.,Out,Out,Education,Shuffleelse,2011,5819665.82,273.00%,7510279.05
"Provides national real estate transaction services to the financial services industry with a focus on title insurance and searches, loan processing and loan due diligence services.",In,Out,Real Estate,Dyneinbulbous,2011,2270633.84,507.00%,7981287.73
"Provides an e-commerce platform used by more than 72,000 online shops for creating, buying and selling personalized apparel. Customers can choose from the designs on the site or make their own.",In,Out,Retail,Handlersthroated,2011,3987940.61,420.00%,11592541.31
"Provides a variety of compliance services to the life sciences industry, including consulting services and project resources for pharmaceutical, biotechnology and medical device clients.",In,Out,Health,Boundextrasmall,2010,4521157.88,411.00%,8838341.18
"A research data management, bioinformatics and health care IT company serving clinicians, scientists and researchers across the globe. Clients include the National Cancer Institute and the Department of Health and Human Services.",In,Out,Health,Efferentfinished,2014,140030.15,351.00%,5449870.41
"An Oracle JD Edwards full-service application, development and technology company that offers a comprehensive suite of services including AppCare 24/7 JDE management services, database management systems support and inventory reconciliation software.",In,Out,IT Services,Trogleguarantee,2008,3769433.57,244.00%,7882725.88
"Provides wealth management services to business owners, including financial planning, business valuations and investment management.",In,Out,Financial Services,Chloridesfixation,2009,4016500.12,307.00%,10924845.59
"Provides a broad range of IT and security services for public and private sectors, including unified communications, managed IT services, virtualization & storage and more.",Out,Out,IT Services,Raisinscotta,2003,6652795.67,263.00%,10393471.01
"A design firm specializing in full-service renewable energy services such as engineering, installation and maintenance of energy efficient products.",In,Out,Energy,Loocloning,2013,3049305.81,464.00%,9346039.08
"An insurance brokerage and HR consulting firm that offers property, casualty, risk management, life and health, employee benefits, investment and wealth management products to businesses of all sizes.",Out,Out,Insurance,Cormorantpassionate,2010,4821597.96,264.00%,7966059.53
"Provides IT services from initial purchase of hardware and software, to the design, integration and support of the optimal system. Its arget markets include healthcare, government and the commercial industry.",In,In,IT Services,Sandhillrisk,2009,2447208.51,575.00%,7664063.21
"Offers on-demand worldwide jet charters and also provides aircraft owners with expertise in acquiring, operating, maintaining and generating revenue using their aircraft.",In,In,Logistics & Transportation,Calmbus,2013,3048562.17,611.00%,9965955.28
"A facilities-based telecommunications company that provides telephone, Internet, and data services to the small business, enterprise, government, and education markets of Louisiana.",Out,Out,Telecommunications,Broadboiled,2014,6219992.41,296.00%,8910974.42
"Provides stack testing services, focusing primarily on emission testing services in the natural gas industry.",In,Out,Environmental Services,Pastpumpkin,2010,1024624.36,426.00%,11192434.83
A former storage engineering and consulting company that used to work with the Department of Defense. It now sells technological services to members of the intelligence community.,Out,Out,IT Services,Vertextractor,2012,8516661.23,244.00%,6092908.81
"Provides data storage, data protection, security, virtualization, and network and compute to commercial clients throughout the United States.",Out,Out,IT Services,Parkourwoodchat,2013,6339351.82,461.00%,7853704.5
"Provides business management software for the health, wellness and beauty industry worldwide.",Out,Out,Software,Ritelepus,2013,4932725.52,289.00%,6662326.12
"Develops and licenses online property management software for private landlords, property management firms and homeowners associations to help them complete tenant applications, track expenses and submit payments over the Internet.",Out,Out,Software,Coiledsheriff,2009,2639512.5,365.00%,3367964.46
"Provides portable shipping and storage containers used for industrial site storage, storage for homeowners or retailers and other storage needs such as film production and prison overflow storage.",In,Out,Manufacturing,Bastingconverse,2013,3344231.34,452.00%,12133831.84
Provides Web and mobile software development and consulting services to businesses ranging from startups to Fortune 100 companies.,In,Out,IT Services,Stylishhypothesis,2011,3170937.89,220.00%,10705546.23
"Manufactures high-precision gene sequencing biochips, atomic force microscopes and advanced glass substrate-based bonding and microfluidic solutions.",In,Out,Manufacturing,Ethanoicgreenish,2011,1280397.59,348.00%,9998904.5
Sells tickets to sold out concerts as well as hard-to-find pieces of art.,Out,In,Retail,Glaciertolerant,2013,4696021.97,640.00%,8174842.53
"A strategic consulting, marketing and communications company specializing the business of agriculture and the life of rural communities.",Out,Out,Advertising & Marketing,Berateupdates,2011,4773242.35,479.00%,7985017.5
"A recruitment company that matches top quality companies in the areas of marketing, technology and human resources with highly qualified job candidates.",Out,Out,Human Resources,Bipedaldumbo,2014,9897500.56,313.00%,9003330.27
Provides physician record and clerical assistant staffing services to healthcare organizations.,Out,Out,Health,Squeezebasement,2010,6852682.33,391.00%,6681593.63
Provides temp and permanent staffing services as well as full life-cycle Web services to its clients.,Out,Out,IT Services,Sounderfibber,2011,6403759.44,281.00%,9727739.66
"Offers gaming information services such as online gaming communities, live streaming of sports events and exclusive tips for winning popular games.",In,Out,Media,Spamfake,2012,2991462.1,385.00%,10489660.23
A technology company focused on delivering data systems to improve student performance in K-12 education.,In,Out,Education,Crazyclausius,2010,2656134.9,518.00%,10699394.6
